CPU Utilization [%],Sampling Rate [µs],Threshold [%],Modeled Arrival Rate [jobs/s],Measured Arrival Rate [jobs/s],Measured Mean Service Time [ms],Measured Mean Service Rate [jobs/s],Modeled MRT (k/λ) [ms],Modeled MRT (W+S) [ms],Measured MRT [ms],Measured Mean Interarrival Time [ms],Modeled Utilization [%],Modeled Busy Probability (1-π₀),Measured Utilization [%],Highest State,Measured Mean CPU Time [ms],Measured Mean CORE Frequency [KHz],Modeled CORE Power [W],Measured CORE Power [W]
80,10000,90,7.12,7,108.79,9.19,276.57,273.86,276.59,0.14,76.16,75.18,75.97,13,108.77,2277661,1.92,None
80,10000,90,7.12,7.05,108.75,9.19,296.85,300.92,296.87,0.14,76.64,77.26,76.46,14,108.73,2275837,1.92,None
80,10000,90,7.12,7.03,108.73,9.2,264.95,258.32,264.98,0.14,76.48,75.4,76.29,12,108.71,2278324,1.92,None
80,10000,90,7.12,7.21,108.57,9.21,296.28,294.39,296.3,0.14,78.3,78.3,78.09,18,108.55,2283146,1.94,None
80,10000,90,7.12,6.94,108.92,9.18,275.98,276.43,275.98,0.14,75.55,75.58,75.36,12,108.89,2292162,1.93,None
90,10000,90,8.01,8.02,108.45,9.22,451.52,449.38,451.54,0.12,86.98,86.34,86.73,17,108.43,2330289,2.03,None
90,10000,90,8.01,8.11,108.48,9.22,441.83,433.8,441.85,0.12,87.92,88.02,87.52,22,108.46,2339554,2.05,None
90,10000,90,8.01,7.79,108.55,9.21,380.46,376.49,380.48,0.13,84.59,85.15,84.37,16,108.53,2315805,2,None
90,10000,90,8.01,7.97,108.32,9.23,414.46,409.76,414.46,0.13,86.27,85.92,86.04,14,108.3,2327681,2.03,None
90,10000,90,8.01,8.17,108.24,9.24,579.76,588.74,579.78,0.12,88.4,89.21,88.15,25,108.22,2332150,2.04,None
90,10000,90,8.01,8.15,108.37,9.23,408.13,394.8,408.15,0.12,88.34,87.97,88.08,18,108.34,2329054,2.04,None
90,10000,90,8.01,7.99,108.51,9.22,428.94,424.34,428.96,0.13,86.65,86.12,86.41,22,108.5,2337975,2.04,None
90,10000,90,8.01,8.01,108.42,9.22,449.88,448.91,449.89,0.12,86.81,86.97,86.57,18,108.4,2329477,2.03,None
90,10000,90,8.01,7.82,108.42,9.22,426.15,428.58,426.17,0.13,84.8,84.01,84.58,22,108.4,2329785,2.02,None
90,10000,90,8.01,8.02,108.53,9.21,466.92,466.09,466.94,0.12,87.04,86.56,86.79,17,108.5,2336780,2.04,None
100,10000,90,8.9,8.75,107.99,9.26,830.47,819.22,830.49,0.11,94.47,94.64,94.19,26,107.97,2364049,2.11,None
100,10000,90,8.9,9.01,110.21,9.07,5154.02,5132.05,5154.02,0.11,99.3,98.61,98.01,92,110.19,2371873,2.14,None
100,10000,90,8.9,9.03,108.13,9.25,1829.06,1817.89,1829.08,0.11,97.61,97.3,96.84,50,108.12,2370169,2.13,None
100,10000,90,8.9,8.82,108.09,9.25,825.41,805.91,825.43,0.11,95.34,94.74,94.74,28,108.08,2366655,2.11,None
100,10000,90,8.9,9.06,108.33,9.23,2341.37,2328.59,2341.38,0.11,98.11,96.97,96.69,66,108.31,2370913,2.13,None
100,10000,90,8.9,9.17,108.06,9.25,3117.08,3091.18,3117.1,0.11,99.07,98.63,98.28,76,108.04,2378476,2.15,None
100,10000,90,8.9,8.85,108.27,9.24,2196.87,2233.75,2196.89,0.11,95.82,95.26,95.05,63,108.25,2360547,2.11,None
100,10000,90,8.9,9.08,108.11,9.25,1639.23,1612.08,1639.24,0.11,98.2,97.81,97.25,56,108.09,2372355,2.13,None
100,10000,90,8.9,9.14,108.15,9.25,3073.53,3052.83,3073.55,0.11,98.83,97.95,97.72,69,108.13,2375230,2.14,None
100,10000,90,8.9,8.82,108.16,9.25,965.3,952.25,965.31,0.11,95.4,94.78,94.8,33,108.14,2361135,2.11,None
10,10000,95,0.89,0.91,115.53,8.66,122,115.88,122.17,1.09,10.55,10.22,10.64,2,115.49,1229412,0.8,None
10,10000,95,0.89,0.83,114.59,8.73,120.85,116.4,121.03,1.2,9.55,9.1,9.64,2,114.54,1170479,0.78,None
10,10000,95,0.89,0.91,114.28,8.75,122.05,128.81,122.2,1.1,10.4,11.54,10.48,2,114.22,1210957,0.79,None
10,10000,95,0.89,0.9,115.03,8.69,123.97,146.14,124.14,1.12,10.31,12.55,10.4,2,114.98,1211406,0.79,None
10,10000,95,0.89,0.88,114.11,8.76,121.14,147.46,121.3,1.14,10,12.36,10.1,2,114.06,1195497,0.79,None
10,10000,95,0.89,0.91,115.08,8.69,123.03,130.24,123.19,1.1,10.41,10.87,10.49,2,115.02,1228820,0.8,None
10,10000,95,0.89,0.95,114.18,8.76,122.71,138.11,122.87,1.06,10.79,12.17,10.88,2,114.14,1234152,0.8,None
10,10000,95,0.89,0.83,115.17,8.68,119.75,83.17,119.77,1.21,9.5,6.46,9.58,2,115.12,1210844,0.79,None
10,10000,95,0.89,0.91,114.58,8.73,122,129.16,122.02,1.1,10.41,11,10.48,2,114.53,1222191,0.8,None
10,10000,95,0.89,0.86,115.28,8.67,122.26,124.3,122.27,1.16,9.89,9.89,9.98,2,115.23,1224604,0.8,None
20,10000,95,1.78,1.8,113.14,8.84,127.92,132.72,128,0.56,20.37,21.48,20.42,2,113.1,1567302,1,None
20,10000,95,1.78,1.79,113.07,8.84,126.56,120.9,126.64,0.56,20.22,19.48,20.27,2,113.04,1563383,1,None
20,10000,95,1.78,1.79,113.08,8.84,127.89,126.17,127.98,0.56,20.26,20.37,20.31,3,113.04,1573720,1.01,None
20,10000,95,1.78,1.83,113.05,8.85,127.45,126.43,127.53,0.55,20.71,21.25,20.76,2,113.01,1555926,1,None
20,10000,95,1.78,1.73,113.35,8.82,128.38,129.81,128.46,0.58,19.65,20.19,19.71,3,113.31,1546116,0.98,None
20,10000,95,1.78,1.77,113.11,8.84,125.55,112.57,125.63,0.56,20.04,18.44,20.1,2,113.08,1567992,1,None
20,10000,95,1.78,1.76,113.17,8.84,128.84,138.26,128.92,0.57,19.88,21.06,19.93,3,113.13,1561088,1,None
20,10000,95,1.78,1.74,113.69,8.8,128.17,125.27,128.26,0.57,19.8,19.9,19.86,2,113.66,1560814,1,None
20,10000,95,1.78,1.81,112.41,8.9,128.6,138.37,128.68,0.55,20.38,21.78,20.44,3,112.36,1550079,0.99,None
20,10000,95,1.78,1.76,113.21,8.83,128.92,137.92,128.93,0.57,19.87,21.74,19.91,3,113.17,1541869,0.98,None
30,10000,95,2.67,2.64,111.67,8.95,137.08,143.66,137.13,0.38,29.5,30.69,29.52,4,111.64,1775886,1.23,None
30,10000,95,2.67,2.8,111.59,8.96,137.81,139.97,137.86,0.36,31.28,31.93,31.28,5,111.56,1808766,1.26,None
30,10000,95,2.67,2.57,112.06,8.92,134.72,135.4,134.78,0.39,28.74,28.56,28.78,3,112.03,1752395,1.2,None
30,10000,95,2.67,2.71,111.86,8.94,137.18,138.79,137.19,0.37,30.29,29.47,30.32,5,111.83,1786255,1.24,None
30,10000,95,2.67,2.73,111.96,8.93,134.99,129.41,135.04,0.37,30.55,30.05,30.56,3,111.93,1814201,1.26,None
30,10000,95,2.67,2.67,112.11,8.92,134.3,124.77,134.35,0.37,29.92,27.73,29.93,4,112.08,1783754,1.23,None
30,10000,95,2.67,2.6,111.96,8.93,135.56,135.25,135.61,0.38,29.15,29.26,29.15,3,111.92,1780035,1.23,None
30,10000,95,2.67,2.64,111.99,8.93,136.4,137.59,136.41,0.38,29.6,29.69,29.61,4,111.95,1775874,1.23,None
