CPU Utilization [%],Sampling Rate [µs],Threshold [%],Modeled Arrival Rate [jobs/s],Measured Arrival Rate [jobs/s],Measured Mean Service Time [ms],Measured Mean Service Rate [jobs/s],Modeled MRT (k/λ) [ms],Modeled MRT (W+S) [ms],Measured MRT [ms],Measured Mean Interarrival Time [ms],Modeled Utilization [%],Modeled Busy Probability (1-π₀),Measured Utilization [%],Highest State,Measured Mean CPU Time [ms],Measured Mean CORE Frequency [KHz],Modeled CORE Power [W],Measured CORE Power [W]
70,10000,90,6.02,6.03,121.2,8.25,355.55,337.5,337.51,0.17,73.09,72.85,72.85,18,121.13,2047210,1.93,4.52
70,10000,90,6.02,5.93,121.39,8.24,281.7,281.13,281.13,0.17,71.96,71.92,71.73,11,121.31,2042780,1.91,4.31
70,10000,90,6.02,6,120.9,8.27,285.72,285.06,285.06,0.17,72.54,72.61,72.18,12,120.83,2034940,1.91,4.32
70,10000,90,6.02,5.81,121.07,8.26,270.67,268.69,268.7,0.17,70.3,70.38,70.08,10,121,2045040,1.88,4.46
70,10000,90,6.02,6.21,121.15,8.25,312.78,310.33,310.33,0.16,75.19,76.78,74.94,12,121.07,2053280,1.97,4.81
80,10000,90,6.88,7.01,121.01,8.26,411.32,418.73,418.73,0.14,84.85,84.23,84.41,17,120.94,2072500,2.16,5.33
80,10000,90,6.88,6.97,120.98,8.27,380.65,391.37,391.37,0.14,84.3,83.12,84,17,120.91,2065530,2.14,5.14
80,10000,90,6.88,6.88,120.93,8.27,396.63,400.98,400.99,0.15,83.16,82.94,82.87,14,120.86,2068030,2.12,5.35
80,10000,90,6.88,6.98,121.15,8.25,398.05,407.03,407.03,0.14,84.51,84.73,84.2,15,121.08,2068770,2.15,5.3
80,10000,90,6.88,6.71,120.97,8.27,382.4,383.47,383.47,0.15,81.15,80.57,80.74,16,120.9,2064590,2.08,4.69
80,10000,90,6.88,6.81,121.09,8.26,391.17,393.26,393.26,0.15,82.46,82.41,82.17,14,121.02,2059850,2.11,5.13
80,10000,90,6.88,6.93,120.96,8.27,433.35,432.93,432.93,0.14,83.78,84.53,83.49,15,120.89,2063250,2.13,5.04
80,10000,90,6.88,6.7,121.02,8.26,363.7,366.04,366.04,0.15,81.11,81.18,80.69,12,120.95,2066310,2.08,5.05
80,10000,90,6.88,6.81,121.02,8.26,412.39,411.27,411.28,0.15,82.41,82.31,81.99,15,120.95,2061660,2.1,5.01
80,10000,90,6.88,6.97,121.07,8.26,435.53,437.91,437.91,0.14,84.34,83.85,84.05,14,121,2065210,2.14,4.99
90,10000,90,7.74,7.85,120.85,8.27,958.18,971.61,971.61,0.13,94.87,94.57,94.5,34,120.78,2081330,2.35,5.82
90,10000,90,7.74,7.85,120.76,8.28,1224.86,1227.3,1227.31,0.13,94.8,94.31,94.12,32,120.69,2077980,2.34,5.31
90,10000,90,7.74,7.69,120.77,8.28,681.08,698.68,698.69,0.13,92.85,91.68,92.2,24,120.7,2076650,2.3,5.71
90,10000,90,7.74,7.47,120.73,8.28,599.76,608.36,608.37,0.13,90.22,90.02,89.89,18,120.65,2069690,2.25,5.5
90,10000,90,7.74,7.72,121.22,8.25,813.64,827.18,827.18,0.13,93.52,92.9,93.17,27,121.15,2078210,2.32,5.49
90,10000,90,7.74,7.64,120.85,8.27,719.6,729.26,729.26,0.13,92.29,92.32,91.79,25,120.78,2072410,2.29,5.62
90,10000,90,7.74,7.81,120.9,8.27,853.57,868.8,868.8,0.13,94.4,94.05,94.04,28,120.82,2078170,2.34,5.76
90,10000,90,7.74,7.55,120.71,8.28,688.26,693.58,693.59,0.13,91.13,90.94,90.79,25,120.64,2076610,2.28,5.86
90,10000,90,7.74,7.58,120.93,8.27,796.43,794.97,794.97,0.13,91.63,91.09,91.13,31,120.86,2073330,2.28,5.52
90,10000,90,7.74,7.51,121.15,8.25,1057.76,1029.5,1029.5,0.13,91.02,91.37,90.53,47,121.08,2069630,2.26,5.29
100,10000,90,8.1,8.21,120.84,8.28,3728.9,3760.31,3760.31,0.12,99.15,98.92,98.4,66,120.76,2080250,2.42,5.74
100,10000,90,8.1,8.12,120.84,8.28,2989.46,2993.95,2993.96,0.12,98.08,97.95,97.51,83,120.76,2078180,2.4,5.63
100,10000,90,8.1,8.15,120.89,8.27,1889.65,1923.97,1923.97,0.12,98.54,97.69,97.64,41,120.81,2078970,2.4,5.93
100,10000,90,8.1,7.92,120.86,8.27,1200.44,1214.47,1214.47,0.13,95.72,95.56,95.17,30,120.78,2076700,2.35,5.72
100,10000,90,8.1,8.46,120.96,8.27,7829.8,8077.23,8077.23,0.12,102.31,99.43,99.25,139,120.88,2081280,2.43,6.01
100,10000,90,8.1,8.22,120.8,8.28,2144.83,2191.22,2191.23,0.12,99.34,99.05,98.59,50,120.72,2080770,2.42,5.96
100,10000,90,8.1,8.22,120.97,8.27,1970.52,2020.56,2020.56,0.12,99.38,99.09,98.63,39,120.89,2081070,2.42,6.11
100,10000,90,8.1,8.05,120.89,8.27,1647.27,1665.97,1665.97,0.12,97.34,97.04,96.62,46,120.81,2077220,2.38,5.98
100,10000,90,8.1,7.94,120.86,8.27,1487.72,1491.93,1491.93,0.13,95.94,95.56,95.08,46,120.78,2070870,2.35,5.75
100,10000,90,8.1,8.14,120.74,8.28,2399.92,2421.61,2421.61,0.12,98.28,98.36,97.88,47,120.66,2077520,2.41,6.02
10,10000,95,0.86,0.82,122.39,8.17,119.83,129.65,129.68,1.22,10,8.97,10.04,2,122.32,1616450,0.76,1.65
10,10000,95,0.86,0.86,122.44,8.17,122.52,130.17,130.2,1.17,10.49,10.5,10.54,1,122.36,1611210,0.76,1.55
10,10000,95,0.86,0.84,121.94,8.2,117.06,128.94,128.97,1.19,10.28,9.67,10.33,2,121.87,1628120,0.76,1.43
10,10000,95,0.86,0.88,122.05,8.19,132.31,130,130.03,1.13,10.78,11.12,10.83,2,121.97,1655860,0.77,1.49
10,10000,95,0.86,0.91,122.3,8.18,128.69,130.44,130.47,1.1,11.13,11.53,11.18,2,122.22,1643520,0.78,1.5
10,10000,95,0.86,0.88,122.11,8.19,123.96,129.81,129.84,1.14,10.68,10.47,10.73,2,122.03,1640460,0.77,1.54
10,10000,95,0.86,0.76,122.06,8.19,133.17,130.3,130.33,1.32,9.26,9.22,9.32,2,121.99,1570830,0.74,1.51
