CPU Utilization [%],Sampling Rate [µs],Threshold [%],Modeled Arrival Rate [jobs/s],Measured Arrival Rate [jobs/s],Measured Mean Service Time [ms],Measured Mean Service Rate [jobs/s],Modeled MRT (k/λ) [ms],Modeled MRT (W+S) [ms],Measured MRT [ms],Measured Mean Interarrival Time [ms],Modeled Utilization [%],Modeled Busy Probability (1-π₀),Measured Utilization [%],Highest State,Measured Mean CPU Time [ms],Measured Mean CORE Frequency [KHz],Modeled CORE Power [W],Measured CORE Power [W]
60,10000,95,5.16,5.26,121.25,8.25,217.08,222.61,222.62,0.19,63.8,63.36,63.61,7,121.17,2043210,1.76,4.21
60,10000,95,5.16,5.12,121.06,8.26,251.98,239.08,239.09,0.2,62,62.44,61.82,9,120.99,2027310,1.72,3.88
60,10000,95,5.16,5.2,121.29,8.24,217.13,220.33,220.33,0.19,63.05,62.41,62.87,7,121.22,2045470,1.75,4.19
60,10000,95,5.16,5.25,121.3,8.24,213.6,218.63,218.64,0.19,63.68,62.94,63.49,8,121.23,2043910,1.76,4.26
60,10000,95,5.16,5.01,121.35,8.24,208.27,211.73,211.73,0.2,60.77,59.27,60.6,10,121.27,2038180,1.7,3.71
60,10000,95,5.16,5.18,121.03,8.26,219.66,221.58,221.59,0.19,62.7,62.67,62.51,8,120.96,2035580,1.74,3.98
60,10000,95,5.16,4.95,121.23,8.25,219.67,216.11,216.11,0.2,59.95,61.55,59.78,7,121.16,2035370,1.69,4.02
60,10000,95,5.16,5.13,121.14,8.25,219.67,220.84,220.84,0.19,62.12,61.92,61.95,7,121.07,2040780,1.73,4.31
70,10000,95,6.02,5.97,127.62,7.84,354.75,349.61,349.62,0.17,76.17,77.52,75.92,14,127.55,2046330,1.98,4.73
70,10000,95,6.02,5.93,120.99,8.27,269.9,271.58,271.59,0.17,71.74,71.67,71.51,9,120.91,2047070,1.91,5.03
70,10000,95,6.02,5.98,121.04,8.26,322.46,309.49,309.5,0.17,72.34,72.77,72.1,18,120.97,2050130,1.92,5.05
70,10000,95,6.02,5.89,121.14,8.26,271.11,271.98,271.98,0.17,71.35,70.83,71.12,9,121.06,2049940,1.9,4.86
70,10000,95,6.02,5.88,121.05,8.26,276.77,275.73,275.73,0.17,71.16,71.55,70.92,12,120.97,2049070,1.9,4.93
70,10000,95,6.02,5.94,121.14,8.25,284.87,282.74,282.75,0.17,71.9,72.13,71.67,9,121.07,2041160,1.9,4.19
70,10000,95,6.02,6.06,127.78,7.83,369.31,364.82,364.82,0.16,77.46,78.28,77.19,13,127.71,2058420,2.02,4.44
70,10000,95,6.02,6.13,120.9,8.27,325.47,316.48,316.48,0.16,74.13,74.68,73.89,12,120.83,2057500,1.96,4.88
70,10000,95,6.02,5.88,121.09,8.26,274.01,272.71,272.72,0.17,71.16,71.09,70.93,13,121.02,2051970,1.9,4.58
70,10000,95,6.02,5.88,121.38,8.24,253.67,259.47,259.47,0.17,71.39,71.3,71.17,8,121.31,2052100,1.9,4.62
80,10000,95,6.88,6.86,121.08,8.26,402.67,405.31,405.31,0.15,83.06,82.97,82.63,15,121.01,2068530,2.12,5.49
80,10000,95,6.88,6.89,121.04,8.26,457.34,451.9,451.9,0.15,83.36,83.01,82.92,20,120.97,2065110,2.12,5.2
80,10000,95,6.88,7.01,120.92,8.27,496.82,490.16,490.17,0.14,84.75,85.54,84.44,19,120.85,2072440,2.16,5.42
80,10000,95,6.88,6.94,120.99,8.27,526.59,512.47,512.47,0.14,84,84.66,83.71,29,120.91,2067120,2.14,4.98
80,10000,95,6.88,6.69,121.12,8.26,387.97,386.65,386.66,0.15,81.07,80.63,80.79,16,121.05,2059640,2.08,5.07
80,10000,95,6.88,6.89,121.06,8.26,392.24,398.21,398.21,0.15,83.43,82.57,83.14,14,120.99,2069980,2.13,5.66
80,10000,95,6.88,6.84,121.01,8.26,389.72,393.78,393.78,0.15,82.75,81.71,82.32,14,120.94,2061580,2.11,5.42
80,10000,95,6.88,6.89,120.95,8.27,417.4,419.34,419.35,0.15,83.28,83.4,82.98,15,120.88,2067190,2.13,5.45
80,10000,95,6.88,6.78,121.19,8.25,380.34,384.51,384.51,0.15,82.11,81.36,81.68,18,121.11,2064090,2.1,5.06
80,10000,95,6.88,6.81,121.09,8.26,376.69,381.67,381.67,0.15,82.4,81.83,81.97,12,121,2066160,2.11,6.89
90,10000,95,7.74,7.79,120.77,8.28,1130.49,1127.15,1127.15,0.13,94.08,94.42,93.72,28,120.7,2078770,2.33,5.5
90,10000,95,7.74,7.67,120.93,8.27,798.2,806.49,806.49,0.13,92.72,92.65,92.21,29,120.86,2076770,2.3,5.35
90,10000,95,7.74,7.68,120.99,8.27,797.37,806.94,806.94,0.13,92.92,92.73,92.41,27,120.92,2078380,2.31,5.18
90,10000,95,7.74,7.7,121.19,8.25,683.01,702.54,702.54,0.13,93.36,93.32,93,18,121.12,2075290,2.31,5.42
90,10000,95,7.74,7.61,120.81,8.28,707.47,716.04,716.05,0.13,91.96,91.92,91.61,31,120.74,2074520,2.29,5.44
90,10000,95,7.74,7.79,121.02,8.26,889.94,905.04,905.04,0.13,94.31,94.16,93.95,28,120.95,2080680,2.34,5.48
90,10000,95,7.74,7.62,120.86,8.27,810.12,811.64,811.64,0.13,92.09,92.59,91.44,26,120.79,2076730,2.29,5.51
90,10000,95,7.74,7.61,120.75,8.28,803.03,803.63,803.64,0.13,91.83,91.67,91.48,26,120.68,2075770,2.29,5.02
90,10000,95,7.74,7.72,121.06,8.26,880.04,887.94,887.94,0.13,93.48,92.61,92.97,37,120.99,2075140,2.31,5.43
90,10000,95,7.74,7.64,120.8,8.28,831.51,833,833.01,0.13,92.27,92.19,91.77,26,120.73,2072390,2.29,5.5
100,10000,95,8.1,8.1,121,8.26,2089.66,2108.98,2108.99,0.12,97.95,97.63,96.9,52,120.91,2079390,2.39,6.61
100,10000,95,8.1,7.99,120.99,8.27,1669.83,1677.77,1677.77,0.13,96.71,96.21,95.68,41,120.91,2077900,2.37,7.13
100,10000,95,8.1,8.16,121.13,8.26,2960.76,2988.4,2988.4,0.12,98.84,98.33,97.79,79,121.05,2084550,2.41,7.6
100,10000,95,8.1,8.34,120.91,8.27,3102.57,3189.73,3189.73,0.12,100.82,99.76,99.4,52,120.83,2085440,2.44,7.94
100,10000,95,8.1,8.28,121.16,8.25,2870.21,2942.93,2942.94,0.12,100.28,99.72,99.37,59,121.08,2083390,2.44,7.83
100,10000,95,8.1,8.09,121.02,8.26,1202.91,1241.13,1241.13,0.12,97.89,97.07,97.01,33,120.94,2084050,2.39,7.74
100,10000,95,8.1,8.22,120.77,8.28,3558.9,3597.56,3597.57,0.12,99.29,98.52,97.91,61,120.69,2083150,2.41,7.78
100,10000,95,8.1,8.06,120.82,8.28,1989.72,1997.03,1997.03,0.12,97.32,97.66,96.91,49,120.74,2084910,2.39,7.77
100,10000,95,8.1,8.09,120.99,8.27,2311.6,2325.97,2325.97,0.12,97.86,97.47,97.3,51,120.91,2081010,2.4,7.51
100,10000,95,8.1,8.29,121.07,8.26,3963.22,4040.92,4040.92,0.12,100.4,99.12,98.68,70,120.99,2084360,2.43,7.57
10,100000,75,0.86,0.89,122.31,8.18,128.71,130.08,130.1,1.13,10.87,11.06,10.9,2,122.01,1496880,0.76,2.18
10,100000,75,0.86,0.87,122.15,8.19,129.79,128.88,128.9,1.15,10.63,11.1,10.66,2,121.74,1487790,0.75,2.22
10,100000,75,0.86,0.83,122.11,8.19,117.48,128.77,128.8,1.2,10.18,9.59,10.21,2,121.79,1454680,0.74,2.02
10,100000,75,0.86,0.85,122.7,8.15,172.56,132.76,132.79,1.18,10.37,12.81,10.41,3,122.46,1475200,0.75,2.11
10,100000,75,0.86,0.81,122.69,8.15,135.61,130.66,130.68,1.24,9.9,10.73,9.94,2,122.36,1443300,0.74,2.04
10,100000,75,0.86,0.87,123.38,8.11,134.71,131.93,131.95,1.15,10.71,11.31,10.76,2,123.08,1474970,0.75,2.03
10,100000,75,0.86,0.95,122.71,8.15,111.88,129.99,130.02,1.06,11.6,10.22,11.63,2,122.4,1504840,0.77,2.09
10,100000,75,0.86,0.87,122.25,8.18,121.46,129.22,129.24,1.15,10.62,10.35,10.66,2,121.95,1473740,0.75,2.06
10,100000,75,0.86,0.8,122.32,8.18,122.27,128.74,128.76,1.25,9.79,9.78,9.83,1,121.96,1437280,0.74,2.12
10,100000,75,0.86,0.84,122.09,8.19,138.51,130.21,130.24,1.2,10.19,10.97,10.25,2,122,1622940,0.76,2.4
20,100000,75,1.72,1.65,122.14,8.19,125.18,135.94,135.96,0.6,20.17,19.57,20.17,2,121.98,1775970,0.93,1.86
20,100000,75,1.72,1.72,121.46,8.23,130.02,136.5,136.51,0.58,20.85,20.09,20.86,2,121.41,1833840,0.95,2.03
20,100000,75,1.72,1.62,121.57,8.23,134.56,137.31,137.32,0.62,19.7,19.54,19.71,3,121.52,1838840,0.94,1.71
20,100000,75,1.72,1.64,121.27,8.25,135.98,138.06,138.08,0.61,19.91,19.18,19.92,3,121.22,1852340,0.94,2
20,100000,75,1.72,1.75,121.6,8.22,138.15,138.05,138.06,0.57,21.24,21.65,21.25,3,121.54,1803280,0.95,1.86
20,100000,75,1.72,1.58,122.26,8.18,121.7,135.65,135.66,0.63,19.3,17.41,19.31,2,122.21,1823810,0.93,1.82
20,100000,75,1.72,1.8,121.54,8.23,143.96,138.98,138.99,0.56,21.9,22.98,21.9,3,121.5,1822690,0.97,2.05
20,100000,75,1.72,1.69,121.82,8.21,130.32,137.64,137.66,0.59,20.57,19.54,20.58,4,121.77,1823480,0.95,2.09
20,100000,75,1.72,1.69,121.51,8.23,121.85,135.84,135.85,0.59,20.51,18.11,20.52,3,121.45,1826490,0.95,2.13
20,100000,75,1.72,1.71,122.04,8.19,138.47,139.96,139.98,0.58,20.91,20.71,20.92,3,121.99,1876370,0.96,2.02
30,100000,75,2.58,2.5,121.81,8.21,147.49,148.53,148.54,0.4,30.47,30.17,30.44,3,121.76,1919550,1.13,2.43
30,100000,75,2.58,2.64,121.61,8.22,161.29,152.67,152.68,0.38,32.06,33.3,32.02,6,121.55,1922660,1.16,2.76
30,100000,75,2.58,2.59,121.71,8.22,144.37,148.24,148.25,0.39,31.5,30.67,31.46,4,121.65,1910020,1.15,2.47
30,100000,75,2.58,2.62,121.55,8.23,141.33,148.41,148.42,0.38,31.87,30.57,31.83,3,121.5,1909100,1.15,2.44
30,100000,75,2.58,2.55,121.97,8.2,151.3,150.02,150.03,0.39,31.1,30.94,31.06,3,121.91,1905060,1.14,2.84
30,100000,75,2.58,2.56,121.87,8.21,154.42,151.3,151.31,0.39,31.24,32.3,31.2,4,121.82,1898660,1.14,2.53
30,100000,75,2.58,2.53,121.76,8.21,157.43,150.7,150.71,0.4,30.78,31.37,30.75,5,121.71,1888670,1.13,2.66
30,100000,75,2.58,2.6,121.13,8.26,150.06,149.42,149.42,0.39,31.43,32.13,31.4,4,121.08,1909480,1.15,2.62
30,100000,75,2.58,2.61,121.99,8.2,148.72,150.34,150.34,0.38,31.8,31.54,31.76,5,121.94,1911450,1.15,2.5
30,100000,75,2.58,2.56,121.31,8.24,144.78,147.51,147.51,0.39,31.02,31.09,30.98,3,121.26,1905550,1.14,2.51
40,100000,75,3.44,3.23,121.77,8.21,178.95,167.76,167.76,0.31,39.27,40.76,39.2,7,121.72,1927020,1.28,3.05
40,100000,75,3.44,3.43,121.46,8.23,154.09,161.73,161.74,0.29,41.68,39.86,41.6,4,121.41,1958190,1.34,3.11
40,100000,75,3.44,3.46,121.6,8.22,150.66,160.19,160.19,0.29,42.09,40.46,42.01,4,121.55,1945940,1.34,3
40,100000,75,3.44,3.39,121.6,8.22,175.58,168.05,168.06,0.29,41.22,42.25,41.14,7,121.54,1959560,1.33,3
40,100000,75,3.44,3.35,121.68,8.22,160.59,162.59,162.6,0.3,40.74,41.15,40.66,5,121.62,1946860,1.31,2.89
40,100000,75,3.44,3.53,121.41,8.24,159.11,164.95,164.96,0.28,42.88,41.87,42.79,5,121.36,1954460,1.35,3.19
40,100000,75,3.44,3.54,121.59,8.22,170.46,169.21,169.22,0.28,43.04,43.87,42.96,5,121.54,1971980,1.36,3.19
40,100000,75,3.44,3.43,121.42,8.24,161.8,163.95,163.96,0.29,41.67,41.54,41.59,4,121.37,1947170,1.33,3.02
40,100000,75,3.44,3.37,121.49,8.23,175.05,167.27,167.27,0.3,40.98,43,40.9,5,121.43,1945420,1.32,2.88
40,100000,75,3.44,3.5,121.56,8.23,167.9,167.93,167.93,0.29,42.5,41.84,42.42,5,121.5,1951350,1.35,3.07
50,100000,75,4.3,4.17,121.43,8.24,177.04,181.24,181.25,0.24,50.66,49.89,50.53,6,121.37,1979400,1.5,3.66
50,100000,75,4.3,4.42,121.67,8.22,182.67,186.96,186.96,0.23,53.76,52.65,53.62,6,121.61,2004250,1.56,3.86
50,100000,75,4.3,4.18,121.69,8.22,189.26,187.21,187.22,0.24,50.87,50.97,50.66,7,121.64,1991500,1.51,3.58
50,100000,75,4.3,4.36,121.65,8.22,187,189.77,189.78,0.23,53.08,53.24,52.94,6,121.6,1976880,1.54,3.56
50,100000,75,4.3,4.27,121.56,8.23,193.74,189.99,190,0.23,51.92,52.84,51.79,6,121.5,1989070,1.52,3.7
50,100000,75,4.3,4.34,121.62,8.22,200.31,195.99,195.99,0.23,52.8,53.91,52.67,6,121.57,1994110,1.54,3.84
50,100000,75,4.3,4.27,121.67,8.22,184.68,186.25,186.25,0.23,51.89,50.93,51.77,6,121.62,1981130,1.52,3.68
50,100000,75,4.3,4.46,121.55,8.23,199.26,198.3,198.31,0.22,54.17,54.1,54.03,8,121.5,1989810,1.56,3.76
50,100000,75,4.3,4.27,121.42,8.24,186.14,187.01,187.02,0.23,51.81,51.69,51.68,6,121.37,1985070,1.52,3.4
50,100000,75,4.3,4.29,121.64,8.22,190.26,188.94,188.95,0.23,52.12,53.14,51.99,8,121.59,1987020,1.53,3.23
60,100000,75,5.16,5.19,121.17,8.25,221.68,222.96,222.97,0.19,62.87,62.79,62.68,11,121.12,2013750,1.73,4.28
60,100000,75,5.16,5.06,121.46,8.23,205.88,209.83,209.84,0.2,61.5,61.36,61.32,10,121.41,2010820,1.7,4.41
60,100000,75,5.16,5.24,121.54,8.23,225.09,225.42,225.43,0.19,63.73,64.47,63.54,7,121.49,2014970,1.74,4.22
60,100000,75,5.16,4.93,121.37,8.24,209.86,210.46,210.47,0.2,59.88,59.11,59.71,9,121.32,2003010,1.67,4.31
60,100000,75,5.16,5.02,121.32,8.24,201.72,207.38,207.38,0.2,60.86,59.96,60.68,6,121.25,2005280,1.69,4.3
60,100000,75,5.16,5.07,121.26,8.25,222.64,220.94,220.94,0.2,61.42,61.67,61.24,8,121.21,2007680,1.7,4.05
60,100000,75,5.16,5.11,121.43,8.24,229.75,225.97,225.97,0.2,62.01,62.13,61.83,8,121.37,2006950,1.71,3.79
60,100000,75,5.16,5.14,121.07,8.26,231.18,227.62,227.62,0.19,62.27,62.74,62.09,8,121.01,2003690,1.71,3.62
60,100000,75,5.16,5.28,121.35,8.24,228.69,229.87,229.87,0.19,64.03,64.5,63.85,7,121.3,2007710,1.75,3.91
60,100000,75,5.16,4.98,121.14,8.26,216.26,214.54,214.55,0.2,60.33,60.98,60.15,8,121.08,2003960,1.68,3.58
70,100000,75,6.02,5.92,121.27,8.25,249.66,257.62,257.63,0.17,71.79,70.89,71.56,10,121.21,2036790,1.9,4.23
70,100000,75,6.02,6.07,121.27,8.25,318.15,309.63,309.63,0.16,73.57,74.84,73.2,11,121.22,2031620,1.93,4.14
70,100000,75,6.02,5.84,121,8.26,268.74,267.49,267.49,0.17,70.65,71.01,70.42,9,120.95,2033670,1.88,3.72
70,100000,75,6.02,6.06,120.95,8.27,265.55,271.04,271.04,0.16,73.3,73.08,73.06,9,120.9,2037600,1.93,4.01
70,100000,75,6.02,5.94,121.22,8.25,295.56,289.92,289.92,0.17,72.02,71.95,71.79,17,121.17,2035060,1.9,4.12
70,100000,75,6.02,6.18,121.26,8.25,325.59,321.21,321.21,0.16,74.88,75.5,74.51,18,121.21,2040620,1.95,4.06
70,100000,75,6.02,6.14,121.25,8.25,294.61,294.83,294.84,0.16,74.38,73.9,74.13,10,121.19,2040530,1.95,4.4
70,100000,75,6.02,6.01,121.15,8.25,259.37,266.3,266.3,0.17,72.83,72.16,72.59,9,121.1,2037790,1.92,4.3
70,100000,75,6.02,6.13,121.43,8.24,265.5,275.1,275.11,0.16,74.46,73.76,74.21,11,121.38,2042000,1.95,4.1
70,100000,75,6.02,5.9,121.22,8.25,267.19,270.19,270.19,0.17,71.54,70.9,71.31,10,121.17,2029240,1.89,4.09
80,100000,75,6.88,6.98,121.05,8.26,413.6,418.85,418.85,0.14,84.44,84.18,84.11,17,120.98,2057060,2.14,4.69
80,100000,75,6.88,7.02,120.86,8.27,431.36,434.01,434.01,0.14,84.84,85.09,84.39,17,120.8,2059230,2.15,4.41
80,100000,75,6.88,6.7,120.88,8.27,404.61,399.95,399.95,0.15,81.03,81.55,80.75,20,120.83,2050610,2.07,4.21
80,100000,75,6.88,6.76,121.14,8.25,357.74,365.52,365.52,0.15,81.87,82.27,81.45,12,121.09,2059080,2.09,4.76
80,100000,75,6.88,6.76,120.76,8.28,378.48,379.74,379.75,0.15,81.59,81.72,81.17,12,120.7,2047080,2.08,4.76
80,100000,75,6.88,6.85,121.01,8.26,384.53,390.04,390.04,0.15,82.87,82.28,82.58,18,120.96,2054680,2.11,4.64
80,100000,75,6.88,6.91,121.04,8.26,415.35,416.62,416.63,0.14,83.62,84.27,83.18,16,120.99,2051370,2.12,4.56
80,100000,75,6.88,6.92,121.11,8.26,444.28,443.04,443.05,0.14,83.81,83.21,83.51,18,121.06,2054150,2.13,4.9
80,100000,75,6.88,6.93,121.1,8.26,456.42,454.08,454.08,0.14,83.94,83.65,83.5,20,121.05,2052370,2.12,4.4
80,100000,75,6.88,6.62,121.21,8.25,380.64,377.78,377.78,0.15,80.2,80.43,79.92,19,121.15,2053440,2.06,4.75
90,100000,75,7.74,7.66,121.15,8.25,946.78,943.7,943.71,0.13,92.78,92.49,92.42,35,121.09,2070280,2.3,5.1
90,100000,75,7.74,7.73,120.85,8.27,826.76,838.75,838.75,0.13,93.46,93.02,92.8,22,120.8,2073230,2.31,5.29
90,100000,75,7.74,7.73,120.8,8.28,929.62,932.33,932.33,0.13,93.38,93.04,92.87,39,120.75,2074340,2.31,5.43
90,100000,75,7.74,7.7,121.04,8.26,841.04,848.65,848.65,0.13,93.22,93.15,92.87,24,120.99,2073840,2.31,4.94
90,100000,75,7.74,7.63,120.95,8.27,692.56,706.06,706.06,0.13,92.28,91.59,91.61,23,120.88,2070220,2.28,5.02
90,100000,75,7.74,7.84,120.94,8.27,992.29,1005.14,1005.14,0.13,94.81,94.69,94.26,27,120.85,2075880,2.34,5.16
90,100000,75,7.74,7.68,120.87,8.27,731.47,744.95,744.96,0.13,92.85,92.34,92.34,25,120.81,2070410,2.3,5.24
90,100000,75,7.74,7.69,120.93,8.27,858.49,864.01,864.01,0.13,93.02,93.26,92.65,26,120.87,2073440,2.31,5.09
90,100000,75,7.74,7.67,120.66,8.29,872.63,873.33,873.33,0.13,92.55,92.05,92.05,28,120.61,2070020,2.29,4.71
90,100000,75,7.74,7.67,120.98,8.27,839.68,843.18,843.18,0.13,92.75,93.02,92.39,23,120.92,2075160,2.3,4.81
100,100000,75,8.1,7.85,120.9,8.27,1001.51,1013.05,1013.05,0.13,94.92,94.51,94.53,28,120.85,2074180,2.34,5.87
100,100000,75,8.1,7.99,120.96,8.27,1158.31,1181.16,1181.16,0.13,96.6,96.22,95.73,38,120.91,2077080,2.37,5.65
100,100000,75,8.1,8.4,120.73,8.28,6662.42,6821.38,6821.38,0.12,101.43,99.94,99.51,102,120.68,2084080,2.44,5.94
100,100000,75,8.1,8.13,120.82,8.28,2021.01,2048.08,2048.08,0.12,98.16,98.05,97.59,53,120.77,2080250,2.4,5.88
100,100000,75,8.1,8.02,121.08,8.26,1734.32,1745.59,1745.6,0.12,97.07,96.9,96.35,54,121.03,2074620,2.37,5.85
100,100000,75,8.1,8.05,120.84,8.28,1134.67,1165.36,1165.37,0.12,97.26,97.2,96.85,27,120.79,2077270,2.39,5.75
100,100000,75,8.1,8.26,120.68,8.29,3583.34,3633.94,3633.94,0.12,99.68,98.59,98.12,85,120.63,2082400,2.41,5.52
100,100000,75,8.1,8.31,120.8,8.28,8545.96,8638.91,8638.91,0.12,100.34,99.86,99.42,114,120.75,2082720,2.44,5.93
100,100000,75,8.1,8.23,120.73,8.28,3169.41,3214.53,3214.53,0.12,99.34,98.36,97.96,66,120.68,2080310,2.41,5.85
100,100000,75,8.1,7.99,120.94,8.27,1172.49,1195.69,1195.69,0.13,96.61,96.16,96.05,35,120.89,2079250,2.37,5.94
10,100000,80,0.86,0.86,122.42,8.17,155.94,131.53,131.55,1.16,10.51,12.42,10.55,2,122.32,1581110,0.76,1.17
10,100000,80,0.86,0.84,122.48,8.16,137.41,130.54,130.58,1.19,10.27,11.52,10.32,1,122.44,1626000,0.76,1.78
10,100000,80,0.86,0.87,122.58,8.16,106.97,129.65,129.67,1.14,10.71,8.96,10.75,2,122.53,1632810,0.77,1.19
10,100000,80,0.86,0.85,122.26,8.18,91.46,128.15,128.17,1.17,10.43,7.8,10.48,1,122.2,1558230,0.76,1.27
10,100000,80,0.86,0.87,122.43,8.17,129.07,130.13,130.15,1.15,10.59,10.39,10.64,2,122.38,1615470,0.77,1.26
10,100000,80,0.86,0.82,122.29,8.18,137.3,129.86,129.88,1.22,9.99,10.81,10.04,2,122.24,1566000,0.75,1.28
10,100000,80,0.86,0.84,122.17,8.19,103.01,128.4,128.42,1.18,10.3,8.69,10.35,1,122.12,1616880,0.76,1.17
10,100000,80,0.86,0.86,122.13,8.19,173.1,132.17,132.19,1.16,10.44,13.44,10.49,3,122.08,1633260,0.77,1.28
10,100000,80,0.86,0.87,121.88,8.2,125.25,129.92,129.94,1.15,10.56,9.51,10.62,3,121.83,1615010,0.77,1.33
10,100000,80,0.86,0.9,120.9,8.27,160.94,131.85,131.87,1.11,10.86,13.53,10.91,2,120.85,1591700,0.77,1.69
20,100000,80,1.72,1.75,121.8,8.21,131.89,137.94,137.95,0.57,21.29,20.96,21.3,3,121.75,1797490,0.95,2.09
20,100000,80,1.72,1.66,121.66,8.22,149.32,138.34,138.35,0.6,20.24,22.13,20.25,3,121.61,1796650,0.94,1.84
20,100000,80,1.72,1.71,121.59,8.22,138.17,138.3,138.31,0.58,20.81,20.83,20.82,2,121.54,1800430,0.95,1.81
20,100000,80,1.72,1.58,121.75,8.21,143.53,137.93,137.94,0.63,19.28,19.46,19.29,3,121.71,1786920,0.92,1.6
20,100000,80,1.72,1.68,121.6,8.22,156.97,140.47,140.48,0.59,20.47,22.46,20.48,4,121.54,1840060,0.95,1.69
20,100000,80,1.72,1.79,122.32,8.18,143.76,139.99,140,0.56,21.89,22.66,21.9,3,122.27,1809260,0.97,1.71
20,100000,80,1.72,1.69,122.08,8.19,126.19,136.55,136.57,0.59,20.59,18.62,20.6,3,122.03,1772390,0.94,1.82
20,100000,80,1.72,1.74,121.99,8.2,124.66,136.44,136.45,0.57,21.25,19.8,21.26,3,121.94,1786670,0.95,1.71
20,100000,80,1.72,1.69,121.93,8.2,125.69,136.64,136.65,0.59,20.61,19.27,20.62,3,121.88,1853430,0.95,1.88
20,100000,80,1.72,1.81,121.75,8.21,138.82,139.41,139.42,0.55,22.06,21.93,22.06,3,121.69,1830920,0.97,1.9
30,100000,80,2.58,2.56,121.81,8.21,150.07,150.6,150.6,0.39,31.12,29.93,31.09,5,121.77,1912390,1.14,2.58
30,100000,80,2.58,2.7,121.53,8.23,156.14,153.48,153.49,0.37,32.77,33.4,32.73,4,121.48,1920110,1.17,2.49
30,100000,80,2.58,2.6,121.56,8.23,154.76,150.86,150.86,0.39,31.54,32.97,31.51,4,121.5,1903330,1.15,2.47
30,100000,80,2.58,2.51,121.39,8.24,134.43,145.3,145.31,0.4,30.49,29.25,30.46,3,121.35,1899820,1.13,2.36
30,100000,80,2.58,2.71,121.54,8.23,166.79,154.92,154.93,0.37,32.98,35.19,32.94,4,121.49,1907710,1.17,2.38
30,100000,80,2.58,2.58,121.86,8.21,139.08,147.07,147.08,0.39,31.38,29.8,31.34,3,121.81,1902880,1.14,2.36
30,100000,80,2.58,2.54,121.99,8.2,160.89,153.5,153.51,0.39,30.99,31.09,30.95,4,121.94,1886830,1.13,2.38
30,100000,80,2.58,2.6,121.67,8.22,152.62,149.96,149.97,0.38,31.65,31.76,31.62,4,121.62,1917370,1.15,2.31
30,100000,80,2.58,2.66,121.28,8.25,163.92,154.54,154.55,0.38,32.2,32.91,32.16,5,121.23,1911270,1.16,2.46
30,100000,80,2.58,2.38,121.63,8.22,146.59,146.45,146.47,0.42,28.91,28.53,28.88,4,121.58,1911200,1.1,2.27
40,100000,80,3.44,3.46,121.5,8.23,158.56,163.99,163.99,0.29,42,41.12,41.91,5,121.45,1961370,1.34,2.88
40,100000,80,3.44,3.34,121.65,8.22,170.47,165.17,165.18,0.3,40.59,41.9,40.51,6,121.6,1948240,1.31,3.1
40,100000,80,3.44,3.41,121.57,8.23,158.52,162.43,162.43,0.29,41.39,41.64,41.32,6,121.52,1939810,1.32,2.75
40,100000,80,3.44,3.28,121.45,8.23,163.23,162.96,162.96,0.3,39.86,40.44,39.78,4,121.4,1956920,1.3,2.68
40,100000,80,3.44,3.34,121.75,8.21,175.26,168,168.01,0.3,40.62,40.95,40.55,5,121.7,1966620,1.32,2.99
40,100000,80,3.44,3.51,121.21,8.25,165.75,166.11,166.12,0.28,42.55,43.48,42.46,4,121.16,1951970,1.35,2.96
40,100000,80,3.44,3.51,121.55,8.23,167.3,167.6,167.6,0.29,42.6,42.67,42.52,5,121.51,1954880,1.35,2.85
40,100000,80,3.44,3.28,121.89,8.2,170.97,166.16,166.17,0.3,40,40.47,39.93,4,121.83,1955270,1.31,2.86
40,100000,80,3.44,3.6,121.36,8.24,162,167.46,167.46,0.28,43.63,43.41,43.54,4,121.31,1948120,1.36,3.07
40,100000,80,3.44,3.43,121.76,8.21,167.81,165.8,165.81,0.29,41.78,41.95,41.7,5,121.71,1963450,1.34,3.14
50,100000,80,4.3,4.38,121.34,8.24,196.13,193.87,193.88,0.23,53.15,53.45,53.01,6,121.29,1983510,1.54,3.8
50,100000,80,4.3,4.15,121.42,8.24,178.22,181.47,181.48,0.24,50.41,50.31,50.28,6,121.37,1971130,1.49,3.43
50,100000,80,4.3,4.24,121.39,8.24,188.47,185.77,185.77,0.24,51.51,52.6,51.37,8,121.33,1976840,1.51,3.44
50,100000,80,4.3,4.37,121.82,8.21,194.85,192.94,192.94,0.23,53.28,53.25,53.14,6,121.77,1984350,1.55,3.7
50,100000,80,4.3,4.39,121.63,8.22,181.4,187.36,187.36,0.23,53.4,53.1,53.26,6,121.58,1982590,1.55,3.53
50,100000,80,4.3,4.33,121.18,8.25,181,185.66,185.67,0.23,52.45,50.97,52.32,6,121.12,1995600,1.54,3.43
50,100000,80,4.3,4.44,121.38,8.24,199.61,195.7,195.71,0.23,53.89,55.02,53.76,6,121.33,1987710,1.56,3.52
50,100000,80,4.3,4.28,121.43,8.24,194.85,190.88,190.88,0.23,51.97,52.44,51.84,7,121.38,1980970,1.52,4
50,100000,80,4.3,4.27,121.53,8.23,177.3,183.37,183.38,0.23,51.92,50.93,51.78,7,121.48,1988390,1.52,3.64
50,100000,80,4.3,4.25,121.31,8.24,180.04,182.92,182.92,0.24,51.5,51.21,51.37,6,121.26,1991560,1.52,4.01
