CPU Utilization [%],Sampling Rate [µs],Threshold [%],Modeled Arrival Rate [jobs/s],Measured Arrival Rate [jobs/s],Measured Mean Service Time [ms],Measured Mean Service Rate [jobs/s],Modeled MRT (k/?) [ms],Modeled MRT (W+S) [ms],Measured MRT [ms],Measured Mean Interarrival Time [ms],Modeled Utilization [%],Modeled Busy Probability (1-??),Measured Utilization [%],Highest State,Measured Mean CPU Time [ms],Measured Mean CORE Frequency [KHz],Modeled CORE Power [W],Measured CORE Power [W],,,,ceff
30,10000,75,2.67,2.565,111.855325,8.940119748,131.7322633,123.6214498,131.793446,0.389791745,28.69089086,27.38791423,28.71,4,111.826245,1803079,1.246805364,None,1.246805448,,,
30,10000,75,2.67,2.705,111.595772,8.960912964,133.304561,125.1647129,133.363812,0.36964566,30.18665633,29.05113986,30.2,3,111.567194,1821470,1.269599034,None,1.26959895,,,
30,10000,75,2.67,2.683333333,111.312225,8.983739207,135.9039007,140.5038386,135.963658,0.372593958,29.86878038,30.86956522,29.88,5,111.285694,1820501,1.267382247,None,1.267382164,,,
40,10000,75,3.56,3.653333333,110.468286,9.052371827,146.3898073,143.9791012,146.433347,0.273644487,40.35774715,39.91788321,40.34,5,110.439142,1972445,1.451983547,None,1.451983464,,,
40,10000,75,3.56,3.69,110.514709,9.048569272,147.040375,145.1712801,147.079317,0.270962936,40.77992762,40.74074074,40.74,4,110.490421,2006988,1.4858282,None,1.4858282,,,
40,10000,75,3.56,3.641666667,110.793618,9.025790637,149.3399015,148.8618572,149.38138,0.274554527,40.34734256,39.47368421,40.32,4,110.768265,2001916,1.479188763,None,1.479188847,,,
40,10000,75,3.56,3.583333333,110.595447,9.041963545,147.7391504,147.0632774,147.780489,0.27903853,39.63003518,39.65116279,39.6,4,110.565612,1977391,1.453194109,None,1.453194192,,,
40,10000,75,3.56,3.506666667,110.743152,9.029903718,144.943896,144.6186153,144.987291,0.285028801,38.83393197,39.25855513,38.81,5,110.715436,1957975,1.431680146,None,1.431680229,,,
40,10000,75,3.56,3.53,110.708791,9.032706355,146.487009,144.8531005,146.529627,0.282915538,39.08020322,38.43248347,39.06,5,110.681709,1999182,1.470854359,None,1.470854359,,,
40,10000,75,3.56,3.65,110.899773,9.017151009,149.8118914,152.9367611,149.852084,0.273958029,40.47841715,40.93607306,40.45,6,110.867762,1986705,1.465695217,None,1.465695217,,,
40,10000,75,3.56,3.565,110.655491,9.037057185,147.667157,148.1207548,147.707527,0.280470747,39.44868254,39.29406265,39.42,5,110.620463,1980432,1.455184628,None,1.455184628,,,
40,10000,75,3.56,3.7,110.548361,9.0458148,146.8305333,147.4920867,146.872361,0.270262521,40.90289357,41.86936937,40.86,4,110.521229,2002018,1.481773437,None,1.48177352,,,
40,10000,75,3.56,3.708333333,110.373953,9.060108593,147.8409628,148.5872996,147.880882,0.269296154,40.9303409,41.75280899,40.89,6,110.349944,1985277,1.466384251,None,1.466384251,,,
50,10000,75,4.45,4.263333333,110.312299,9.065172325,157.9911936,157.6711918,158.029304,0.234517673,47.02981014,46.73573104,46.97,8,110.287387,2069960,1.573918844,None,1.573918761,,,
50,10000,75,4.45,4.23,110.013472,9.089795839,158.4390124,160.1659504,158.475167,0.236379041,46.53569866,47.18282112,46.49,5,109.989656,2065078,1.56703892,None,1.567039003,,,
50,10000,75,4.45,4.391666667,110.30188,9.066028612,162.5885306,162.158075,162.622231,0.22769475,48.44090897,48.40607211,48.38,7,110.276482,2082437,1.592429627,None,1.592429544,,,
50,10000,75,4.45,4.328333333,109.98354,9.092269625,159.2813055,159.1095676,159.316464,0.231033848,47.60454223,46.84251059,47.55,7,109.961557,2090538,1.59608638,None,1.59608638,,,
50,10000,75,4.45,4.451666667,109.941686,9.095730986,161.8756445,161.1804255,161.909961,0.224566276,48.94237388,48.72706851,48.88,5,109.917174,2094775,1.606498636,None,1.606498719,,,
50,10000,75,4.45,4.62,110.194502,9.074862918,165.674344,163.1185073,165.706605,0.216386916,50.90985992,49.76551227,50.83,7,110.170657,2114115,1.63428879,None,1.63428879,,,
50,10000,75,4.45,4.605,110.013459,9.089796913,168.5156374,172.71035,168.54721,0.217132828,50.66119787,51.59247195,50.59,5,109.99258,2100851,1.620521162,None,1.620521079,,,
50,10000,75,4.45,4.461666667,110.145555,9.078895649,162.9186627,162.3425327,162.951581,0.224107612,49.14327512,49.62644752,49.07,5,110.121331,2082424,1.595726895,None,1.595726979,,,
50,10000,75,4.45,4.513333333,109.957678,9.094408123,163.8983399,163.3924539,163.931474,0.221520146,49.62756534,49.22451994,49.57,6,109.932155,2119137,1.632911396,None,1.632911396,,,
50,10000,75,4.45,4.351666667,110.357759,9.061438082,158.4481192,154.9435621,158.482239,0.229770916,48.02401812,47.08923784,47.95,5,110.33362,2103215,1.609976943,None,1.60997686,,,
60,10000,75,5.34,5.101666667,109.669088,9.118339709,179.3423469,178.7566567,179.371182,0.195949291,55.94951306,56.14178373,55.84,7,109.644437,2168052,1.71057096,None,1.71057096,,,
60,10000,75,5.34,5.363333333,109.429887,9.138271339,183.6259952,181.2945439,183.653653,0.18629161,58.69089606,59.13610938,58.59,9,109.407116,2194757,1.750162546,None,1.750162463,,,
60,10000,75,5.34,5.185,109.556153,9.12773927,178.1874587,177.3369733,178.190036,0.192613689,56.80486533,58.04274466,56.7,7,109.536532,2167890,1.714709581,None,1.714709581,,,
60,10000,75,5.34,5.356666667,109.280517,9.150761979,185.7026961,185.6958259,185.735067,0.18661246,58.53793027,58.32296204,58.43,7,109.260564,2173847,1.729114426,None,1.729114343,,,
60,10000,75,5.34,5.301666667,109.367541,9.143480697,185.302671,186.6631695,185.332373,0.188551201,57.98302465,58.58220685,57.88,6,109.346701,2183484,1.735675996,None,1.735675996,,,
60,10000,75,5.34,5.471666667,109.381639,9.14230221,182.5067097,175.1330871,182.533503,0.182683201,59.84998681,58.51355468,59.74,7,109.357514,2210107,1.770880058,None,1.770880141,,,
60,10000,75,5.34,5.423333333,109.404449,9.140396109,183.0245317,176.993641,183.0554,0.18437348,59.33367951,58.15918869,59.23,6,109.382209,2201470,1.759907892,None,1.759907976,,,
60,10000,75,5.34,5.285,109.480757,9.134025261,178.6916798,175.6099133,178.721767,0.188853509,57.86058007,58.78271839,57.75,6,109.462333,2185460,1.736931767,None,1.736931683,,,
60,10000,75,5.34,5.36,109.291177,9.149869435,193.5491042,198.8077337,193.577709,0.186413368,58.58007087,58.70646766,58.47,8,109.265298,2193098,1.747949958,None,1.747949874,,,
60,10000,75,5.34,5.235,109.387455,9.141816125,184.1874861,185.4582209,184.189987,0.190980988,57.26433269,57.90227598,57.15,7,109.368248,2165009,1.714176675,None,1.714176592,,,
70,10000,75,6.23,6.333333333,108.761744,9.194409387,227.3620229,225.934903,227.385975,0.157886014,68.88243787,67.59210526,68.72,12,108.74472,2267771,1.873776612,None,1.873776528,,,
70,10000,75,6.23,6.538333333,108.900618,9.182684344,246.0874236,247.9543603,246.110685,0.152902313,71.20285407,71.25924038,71.03,12,108.880106,2278961,1.896998996,None,1.896998912,,,
70,10000,75,6.23,6.285,108.915886,9.181397101,223.193736,220.5205872,223.218588,0.159075315,68.45363435,68.37708831,68.3,8,108.896106,2263352,1.867204978,None,1.867204895,,,
70,10000,75,6.23,6.268333333,109.107592,9.165265053,224.0469753,222.8825049,224.070672,0.159421514,68.39227559,68.42595055,68.24,8,109.089091,2252472,1.856115246,None,1.856115246,,,
70,10000,75,6.23,6.303333333,109.05542,9.169649707,218.4939143,212.5838363,218.496032,0.158622998,68.74126641,67.27032386,68.58,8,109.037105,2268208,1.873478337,None,1.87347842,,,
70,10000,75,6.23,6.211666667,108.962651,9.177456595,214.4642957,211.2878494,214.488685,0.160934945,67.68396671,67.56104105,67.53,10,108.941507,2245896,1.845928599,None,1.845928599,,,
70,10000,75,6.23,6.33,108.79299,9.191768698,210.1655277,201.4862732,210.188229,0.157959276,68.86596267,67.91732491,68.7,7,108.77344,2266615,1.872525708,None,1.872525792,,,
70,10000,75,6.23,6.15,108.965304,9.177233149,228.2866726,233.3046908,228.310299,0.162579295,67.01366196,68.46883469,66.87,12,108.948859,2240511,1.837197315,None,1.837197315,,,
70,10000,75,6.23,6.29,108.843198,9.18752865,232.9282754,236.6099512,232.930416,0.158974167,68.46237154,69.8503113,68.3,9,108.8261,2251909,1.855868726,None,1.85586881,,,
70,10000,75,6.23,6.181666667,108.952009,9.178353012,223.1290272,224.661748,223.153,0.161764548,67.35050023,68.25289836,67.2,9,108.931272,2246641,1.8449575,None,1.844957583,,,
80,10000,75,7.12,7.03,108.641047,9.204624105,288.5361892,289.4524381,288.557566,0.142234957,76.37465604,76.49359886,76.18,14,108.620392,2299690,1.944944803,None,1.944944886,,,
80,10000,75,7.12,7.09,108.601434,9.207981545,311.4539703,317.9617557,311.476629,0.140959767,76.99841671,76.84532205,76.8,20,108.582698,2305139,1.953733975,None,1.953733891,,,
80,10000,75,7.12,7.13,108.536075,9.21352647,296.6106294,297.3234009,296.633266,0.140217085,77.38622148,76.72978027,77.19,20,108.515349,2300328,1.950940107,None,1.950940107,,,
80,10000,75,7.12,7.166666667,108.637436,9.204930057,302.7110795,303.3719714,302.7131,0.139505682,77.85682913,77.97930473,77.66,15,108.618304,2315401,1.968687515,None,1.968687599,,,
80,10000,75,7.12,7.138333333,108.61319,9.206984898,288.215221,285.9504225,288.236331,0.139994364,77.53171546,76.89703479,77.35,14,108.59445,2318470,1.970138483,None,1.970138567,,,
80,10000,75,7.12,7.098333333,108.556433,9.211798623,289.0564774,289.1160804,289.077585,0.140820152,77.05697469,77.00164358,76.86,15,108.540729,2300103,1.94896423,None,1.94896423,,,
80,10000,75,7.12,6.956666667,108.663098,9.202756211,282.3625497,284.273995,282.383544,0.143710978,75.59329518,75.01197892,75.41,14,108.645107,2302432,1.943627288,None,1.943627372,,,
80,10000,75,7.12,7.16,108.598877,9.20819835,286.9309821,282.4018445,286.953215,0.139642597,77.75679593,77.26955307,77.56,13,108.577277,2308384,1.961053073,None,1.961053157,,,
80,10000,75,7.12,7.17,108.792652,9.191797255,294.0681204,292.8643354,294.089647,0.139376762,78.00433148,77.92887029,77.81,14,108.775514,2293086,1.946892273,None,1.946892273,,,
80,10000,75,7.12,7.04,108.575004,9.210223009,289.7629685,291.9599044,289.786877,0.141881017,76.43680282,76.87026515,76.25,12,108.556748,2312526,1.958266811,None,1.958266811,,,
90,10000,75,8.01,7.945,108.453053,9.220579526,457.0645496,459.1958851,457.082827,0.125834475,86.16595061,86.84707363,85.94,20,108.432997,2336672,2.034784241,None,2.034784158,,,
90,10000,75,8.01,7.911666667,108.262177,9.236836241,408.4435704,404.3355091,408.462904,0.126394632,85.6534257,84.86412471,85.42,20,108.245595,2343798,2.039325776,None,2.039325776,,,
90,10000,75,8.01,8.018333333,108.279442,9.23536344,463.8114722,463.0575129,463.83063,0.124671714,86.82206591,87.37268759,86.59,17,108.261545,2343947,2.045796276,None,2.045796193,,,
90,10000,75,8.01,7.875,108.292683,9.234234228,389.7648489,384.7014361,389.783311,0.126960719,85.28048786,85.00529101,85.05,16,108.272385,2339154,2.032548455,None,2.032548455,,,
90,10000,75,8.01,7.901666667,108.246828,9.23814599,429.5440329,429.6643323,429.56321,0.12649877,85.53303526,84.83442312,85.31,20,108.225948,2341934,2.03681238,None,2.036812296,,,
90,10000,75,8.01,7.841666667,108.430265,9.222517348,449.1751793,455.1153554,449.193909,0.127516375,85.02739947,85.21785335,84.8,21,108.413584,2343017,2.035175252,None,2.035175168,,,
90,10000,75,8.01,7.883333333,108.438357,9.221829136,452.9465842,457.8932548,452.966945,0.126833353,85.48557144,85.65539112,85.26,19,108.417531,2338901,2.033419508,None,2.033419425,,,
90,10000,75,8.01,7.888333333,108.431932,9.222375564,410.5835573,407.949739,410.603086,0.126753599,85.53472236,85.28417494,85.31,17,108.414067,2349166,2.04426,None,2.044260084,,,
90,10000,75,8.01,8.088333333,108.172194,9.244519899,458.7971253,454.9115944,458.816093,0.123614887,87.49327625,86.55470843,87.11,20,108.151652,2349116,2.053948465,None,2.053948382,,,
90,10000,75,8.01,7.818333333,108.496378,9.216897545,370.8847405,363.4821706,370.905505,0.127887954,84.82608487,84.36367512,84.6,13,108.475806,2343448,2.034538851,None,2.034538934,,,
100,10000,75,8.9,8.818333333,108.110989,9.24975351,990.8123948,980.4469642,990.828713,0.113396053,95.3358738,94.98204498,95.06,33,108.094099,2371728,2.120760308,None,2.120760308,,,
100,10000,75,8.9,8.936666667,108.211135,9.241193154,1245.605685,1229.297969,1245.624142,0.11188894,96.70468431,96.39127191,96.42,34,108.190454,2374270,2.130872912,None,2.130872995,,,
100,10000,75,8.9,9.06,108.30938,9.232810676,2628.587973,2617.940734,2628.604311,0.110366907,98.12829828,97.85688006,97.66,72,108.288346,2377116,2.140666353,None,2.140666353,,,
100,10000,75,8.9,8.926666667,108.219954,9.240440076,1506.622429,1499.741902,1506.639671,0.111992243,96.6043456,96.71396565,96.31,43,108.201394,2375133,2.131182029,None,2.131182029,,,
100,10000,75,8.9,8.935,108.079356,9.252460757,1416.790758,1406.800571,1416.808486,0.111899459,96.56890459,96.11080022,95.96,45,108.059296,2372313,2.126293885,None,2.126293885,,,
100,10000,75,8.9,8.973333333,108.129158,9.248199269,1583.983987,1575.971344,1584.001213,0.111433551,97.02789778,96.98179792,96.58,58,108.111579,2373863,2.131318399,None,2.131318315,,,
100,10000,75,8.9,9.031666667,108.08896,9.25163865,1440.123867,1417.129405,1440.141725,0.110712081,97.62234571,96.90902381,96.53,52,108.067856,2370971,2.127991966,None,2.127991883,,,
100,10000,75,8.9,9.123333333,108.035615,9.256206854,3326.407284,3315.684108,3326.424101,0.109594594,98.56449275,97.54293022,96.99,85,108.018917,2375030,2.134793495,None,2.134793412,,,
100,10000,75,8.9,8.931666667,108.044651,9.255432738,1165.367893,1149.025311,1165.36945,0.111938789,96.50188078,96.06306558,96.05,35,108.023913,2371441,2.125866009,None,2.125866092,,,
100,10000,75,8.9,8.745,108.174071,9.244359492,1206.626615,1216.126877,1206.644248,0.114350061,94.59822509,95.30207738,94.17,41,108.156626,2364562,2.10837202,None,2.108372103,,,
10,10000,80,0.89,0.881666667,115.074124,8.690050945,121.029874,102.9155842,121.204301,1.132070903,10.14570193,8.884688091,10.22,2,115.031823,1267105,0.815875823,None,0.815875871,,,
10,10000,80,0.89,0.89,114.609438,8.725284911,120.7496307,105.2055717,120.912906,1.12216318,10.20023998,9.176029963,10.29,2,114.567212,1237694,0.804149776,None,0.804149706,,,
10,10000,80,0.89,0.911666667,114.41914,8.739796506,119.7690429,100.2643637,119.936831,1.095254555,10.4312116,8.957952468,10.5,2,114.376908,1257313,0.812716223,None,0.812716271,,,
10,10000,80,0.89,0.865,114.564956,8.728672667,123.5218308,158.152071,123.699318,1.155223686,9.909868694,12.90944123,10,2,114.518798,1213762,0.793631003,None,0.793630989,,,
10,10000,80,0.89,0.908333333,114.270807,8.751141488,121.9929072,132.3120949,122.162169,1.100761509,10.3795983,11.28440367,10.47,2,114.227596,1255042,0.81170732,None,0.811707223,,,
10,10000,80,0.89,0.808333333,114.847363,8.707209063,122.1426907,145.3927091,122.348165,1.236837241,9.283495176,11.34020619,9.38,2,114.803426,1192041,0.783132052,None,0.783132073,,,
10,10000,80,0.89,0.848333333,114.10999,8.763474609,121.612306,143.5844388,121.791796,1.172967595,9.680330818,11.00196464,9.77,2,114.063432,1206499,0.79005052,None,0.790050443,,,
10,10000,80,0.89,0.876666667,114.378103,8.742932203,121.6438847,123.6102878,121.822494,1.139829014,10.02714703,10.45627376,10.11,2,114.332956,1226336,0.799033859,None,0.799033915,,,
10,10000,80,0.89,0.878333333,114.554296,8.729484925,123.3017379,138.2642792,123.471275,1.138032106,10.06168567,11.76470588,10.14,2,114.511334,1211872,0.793256271,None,0.793256382,,,
10,10000,80,0.89,0.875,114.540146,8.730563343,121.4537696,121.9047619,121.63712,1.141656593,10.02226278,10.0952381,10.1,2,114.499631,1225338,0.798601143,None,0.798601268,,,
20,10000,80,1.78,1.718333333,112.730084,8.870746517,125.5759139,115.1500384,125.665815,0.581562798,19.3707861,18.23472357,19.43,3,112.694571,1551913,0.987717233,None,0.987717316,,,
20,10000,80,1.78,1.858333333,112.520273,8.88728736,128.1107562,125.4238583,128.117431,0.537915096,20.9100174,20.25997311,20.95,3,112.484809,1601849,1.037174023,None,1.037173939,,,
20,10000,80,1.78,1.733333333,112.81994,8.863681367,125.9296088,118.7130178,126.014195,0.576673405,19.55545627,18.94230769,19.6,3,112.784983,1560850,0.996175911,None,0.996175994,,,
20,10000,80,1.78,1.736666667,112.8647,8.860166199,127.0789472,125.4416245,127.167511,0.575445315,19.60083623,19.19385797,19.65,4,112.825078,1568979,1.003497861,None,1.003497861,,,
20,10000,80,1.78,1.786666667,112.904371,8.857053019,127.2394421,124.2620851,127.322804,0.55931334,20.17224762,20.05597015,20.22,2,112.869934,1598397,1.031442995,None,1.031442995,,,
20,10000,80,1.78,1.701666667,113.398681,8.818444722,124.8231579,107.6319907,124.914595,0.587152456,19.29667555,17.33594515,19.34,2,113.364338,1556059,0.991035206,None,0.991035289,,,
20,10000,80,1.78,1.863333333,112.99751,8.84975253,125.6023104,109.3977287,125.608562,0.5366112,21.0552027,19.26687528,21.1,2,112.960594,1627086,1.059984803,None,1.059984803,,,
